korean,english
안녕 하새요!,Hello!
감사 합니다!,Thank you! (Formal)
반갑습니다!,Pleased to meet you! / Pleased to see you!
고마워!,Thank you! (Intimate)
고맙습니다!,Thank you! (Informal)
아니에요!,It's nothing! / You are welcome!
저두요!,Me too!
안녕히 계세요!,Goodbye! (You leave / they stay)
안녕히 가세요!,Goodbye! (You stay or leave / they leave)
네!,Yes!
여부세요?,Hello? (Over the phone)
오랜만이에요!,"Long time, no see!"
잘 있었어요?,Have you been good?
잘 있었어요!,I have been good!
그럼요!,Of course! / Sure!
칼러스 은요?,How about Carlos?
어머니 는요?,How about your mother?
배구파요!,I'm hungry!
배불러요!,I'm full!
줗아하다,To like (V)
왜?,Why?
진짜,Really
싫어하다,To dislike (V)
맛있다,To be delicious (V)
맛없다,To not be delicious (V)
아니요!,No!
있다,To exist / To be there / To have (V)
없다,To not exist / To not be there / To not have (V)
이름,Name
뭐예요?,What?
이거,This (inanimate object)
칼,Knife
가방,Bag
그거,That (inanimate object)
제,My
엄마,Mom
미안하다,To be sorry (V) (casual)
죄송합니다!,I'm sorry! (formal)
괜찮다,To be ok / To be alright (V)
하나,One (K)
둘,Two (K)
셋,Three (K)
넷,Four (K)
다섯,Five (K)
여섯,Six (K)
일곱,Seven (K)
여덟,Eight (K)
아홉,Nine (K)
열,Ten (K)
열하나,Eleven (K)
스물,Twenty
서른,Thirty
마흔,Forty
살,Age
몇?,How many?
몇살이에요?,How old are you?
일,One (S)
이,Two (S)
삼,Three (S)
사,Four (S)
오,Five (S)
육,Six (S)
칠,Seven (S)
팔,Eight (S)
구,Nine (S)
십,Ten (S)
월,Month
일,Day / Date
생일,Birthday
언제?,When?
님,"Honorific suffix (sir, ma'am)"
분,Minute
시,Hour
몇시예요?,What time is it?
지금,Now
월요일,Monday
화요일,Tuesday
수요일,Wednesday
목요일,Thursday
금요일,Friday
토요일,Saturday
일요일,Sunday
돈,Money
어제,Yesterday
내일,Tomorrow
선물,Present
아저씨,Mr (older)
아줌마,Mrs (older)
머리,Head
어디?,Where?
학생,Student/Young person
집,Home
일어나다,To get up (V)
물,Water
주세요!,Please give!
좀,A bit / some
밥,Rice / Meal
자,Sleep
목 말라다,To be thirsty (V)
그래!,Alright!
앞,In front
뒤,Back / Behind
왼쪽,Left
오른쪽,Right
옆,Next (to)
어디예요?,Where is (it)?
여기,Here / This place
경찰서,Police station
은행,Bank
평의점,Convenience store
지하철,Subway
알았어,I understand / OK / Alright
때문에,Because of
백,100
천,"1,000"
만,"10,000"
원,Won (currency)
빨리,Fast / Quickly
피자,Pizza
저,I (formal)
나,I (casual)
같이,Together
너,You (intimate)
도,Too
아주,Very
구러니카,That's what I meant
큰,Big
부자,Rich person
몰르다,To not know (V)
남자친구,Boyfriend
여자친구,Girlfriend
친구,Friend
시간,Time
어때요?,How about ...? / How is it?
만,Only
케이크,Cake
센드위치,Sandwich
눅차,Green Tea
어서오세요!,Welcome!
부터,Since
담배,Cigarrette
사진,Picture / Photo
하자!,Let's do!
먹자!,Let's eat!
보자!,Let's watch!
가자!,Let's go!
이것!,This!
랑 / 이랑 / 와 / 과,And
얼마에요?,How much is it?
수영장,Swimming pool
싫어!,I don't want to!
빨간,Red
파란,Blue
노란,Yellow
까만,Black
하얀,White
저기요!,Excuse me!
김치찌개,Kimchee soup
카레,Curry
조심해!,Be careful!
뜨거워!,It's hot!
엄마,Mom / Mum
이,This
알다,To know (V)
몰르다,To not know (V)
타이레놀,Tylenol
아프다,To hurt / To be sick (V)
나쁘다,To be bad (V)
마시다,To drink (V)
먹다,To eat (V)
... 고 싶어,Want ...
마시고 싶어,To want to drink
먹고 싶어,To want to eat
소주,Soju
콜라,Cola drink
더,More
예뻐,Pretty
